row,original_name,normalized_name,candidate_cas,reason
567,3-Methyl Isoxazole 3-Methyl-isoxazole,3-Methyl Isoxazole 3-Methyl-isoxazole,,not found in PubChem
569,"3-Methyl-1,2-Butadiene 3-Methyl-buta-1,2-diene","3-Methyl-1,2-Butadiene 3-Methyl-buta-1,2-diene",,not found in PubChem
573,3-Methyl-1-Butene 3-Methyl-but-1-ene,3-Methyl-1-Butene 3-Methyl-but-1-ene,,not found in PubChem
575,3-Methyl-2-Butanol 3-Methyl-butan-2-ol,3-Methyl-2-Butanol 3-Methyl-butan-2-ol,,not found in PubChem
582,3-Nitroaniline 3-Nitro-phenylamine,3-Nitroaniline 3-Nitro-phenylamine,,not found in PubChem
585,3Hydroxypropionitrile,3Hydroxypropionitrile,,not found in PubChem
586,3Methyl1Butanol,3Methyl1Butanol,,not found in PubChem
587,3Pentanone,3Pentanone,,not found in PubChem
590,4-Amino Pyridine Pyridin-4-ylamine,4-Amino Pyridine Pyridin-4-ylamine,,not found in PubChem
593,"4-Bromo-1,2-Butadiene 4-Bromo-buta-1,2-diene","4-Bromo-1,2-Butadiene 4-Bromo-buta-1,2-diene",,not found in PubChem
595,4-Bromo-1-Butene 4-Bromo-but-1-ene,4-Bromo-1-Butene 4-Bromo-but-1-ene,,not found in PubChem
597,"4-Chloro-1,2-Butadiene 4-Chloro-buta-1,2-diene","4-Chloro-1,2-Butadiene 4-Chloro-buta-1,2-diene",,not found in PubChem
601,4-Chlorobenzaldehyde 4-Chloro-benzaldehyde,4-Chlorobenzaldehyde 4-Chloro-benzaldehyde,,not found in PubChem
603,4-Chlorobenzonitrile 4-Chloro-benzonitrile,4-Chlorobenzonitrile 4-Chloro-benzonitrile,,not found in PubChem
607,4-Chlorothiophenol 4-Chloro-benzenethiol,4-Chlorothiophenol 4-Chloro-benzenethiol,,not found in PubChem
610,4-Ethyl Morpholine 4-Ethyl-morpholine,4-Ethyl Morpholine 4-Ethyl-morpholine,,not found in PubChem
612,4-Ethyl Phenol 4-Ethyl-phenol,4-Ethyl Phenol 4-Ethyl-phenol,,not found in PubChem
618,"4-Iodo-1,2-Butadiene 4-Iodo-buta-1,2-diene","4-Iodo-1,2-Butadiene 4-Iodo-buta-1,2-diene",,not found in PubChem
621,4-Methoxy Benzonitrile 4-Methoxy-benzonitrile,4-Methoxy Benzonitrile 4-Methoxy-benzonitrile,,not found in PubChem
624,4-Methyl Cyclohexanol (mix) 4-Methyl-cyclohexanol,4-Methyl Cyclohexanol (mix) 4-Methyl-cyclohexanol,,not found in PubChem
629,4-Nitrophenol 4-Nitro-phenol,4-Nitrophenol 4-Nitro-phenol,,not found in PubChem
631,4-Pentenal Pent-4-enal,4-Pentenal Pent-4-enal,,not found in PubChem
636,4-Vinyl Pyridine 4-Vinyl-pyridine,4-Vinyl Pyridine 4-Vinyl-pyridine,,not found in PubChem
637,4Hydroxy4Methyl2Pentanone,4Hydroxy4Methyl2Pentanone,,not found in PubChem
638,"4Hydroxymethyl1,3Dioxolan2One","4Hydroxymethyl1,3Dioxolan2One",,not found in PubChem
639,4Methyl2Pentanol,4Methyl2Pentanol,,not found in PubChem
640,4Methyl2Pentanone,4Methyl2Pentanone,,not found in PubChem
641,4Octanol,4Octanol,,not found in PubChem
652,5Methyl2Hexanone,5Methyl2Hexanone,,not found in PubChem
655,"9,10-Anthraquinone Anthraquinone","9,10-Anthraquinone Anthraquinone",,not found in PubChem
659,Acetaldehyde* Acetaldehyde,Acetaldehyde* Acetaldehyde,,not found in PubChem
661,Acetaldoxime Acetaldehyde oxime,Acetaldoxime Acetaldehyde oxime,,not found in PubChem
663,Acetamide Acetamide,Acetamide Acetamide,,not found in PubChem
