name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source
MAA/EA/ST 15/38/47,,17.60,5.20,7.00,4.50,,0.700,1,hspip_polymers
MAA/MA/V A 15/27.5/,,57.5,28.50,15.70,18.10,,0.700,1,hspip_polymers
MAA/MA/V A 15/17.5/,,67.5,25.50,15.70,18.10,,0.700,1,hspip_polymers
MMA/CYCLOL 58/42,,18.70,9.90,8.70,8.80,,0.700,1,hspip_polymers
MMA/EA 50/50,,17.50,9.90,4.10,9.50,,0.700,1,hspip_polymers
MMA/EA 25/75,,19.00,9.00,15.00,12.00,,0.700,1,hspip_polymers
MMA/EA/AGE 40/40/20,,17.60,9.80,5.60,9.70,,0.700,1,hspip_polymers
MMA/EA/AA,,15.90,15.90,11.50,11.10,,0.700,1,hspip_polymers
MMA/EA/AN 55/30/15?,,16.70,10.90,8.50,8.50,,0.700,1,hspip_polymers
MMA/EA/AN 40/40/20,,20.40,13.20,11.00,12.30,,0.700,1,hspip_polymers
MMA/EA/BAMA 40/40/20,,17.90,8.50,11.70,12.90,,0.700,1,hspip_polymers
MMA/EA/CYCLOL,,17.60,9.80,6.40,9.80,,0.700,1,hspip_polymers
MMA/EA/MAM 40/40/20,,19.00,9.00,15.00,12.00,,0.700,1,hspip_polymers
MMA/EA/MAM 45/45/10?,,19.50,11.10,8.70,11.20,,0.700,1,hspip_polymers
MMA/EA/BVBE 40/40/20,,17.80,10.00,6.60,9.80,,0.700,1,hspip_polymers
ACID DEGMP,,15.30,13.30,14.90,15.60,,0.700,1,hspip_polymers
CARB DEG PTH,,19.40,13.40,11.60,11.10,,0.700,1,hspip_polymers
CRYPLEX 1473-5,,19.20,9.40,5.60,8.90,,0.700,1,hspip_polymers
DEG ISOPH,,19.20,17.20,14.60,11.80,,0.700,1,hspip_polymers
DEG PHTH,,21.00,15.20,13.20,13.70,,0.700,1,hspip_polymers
DPG PHTH,,20.10,11.50,6.70,11.607248,,0.700,1,hspip_polymers
DOW ADIP TEREP,,17.80,10.40,6.80,9.30,,0.700,1,hspip_polymers
DOW X-2635 MALEATE,,17.80,5.60,6.80,4.50,,0.700,1,hspip_polymers
VITEL PE LINEAR,,14.90,10.10,2.90,6.10,,0.700,1,hspip_polymers
VITEL PE101-X,,21.30,6.30,4.70,7.30,,0.700,1,hspip_polymers
HYD BIS A FUM ISPH,,17.00,4.40,6.20,5.00,,0.700,1,hspip_polymers
HYD BIS A PG FUM ISPH,,18.70,8.90,5.50,8.40,,0.700,1,hspip_polymers
PENTA BENZ MAL,,19.40,12.20,10.20,10.80,,0.700,1,hspip_polymers
SOL MYLAR 49001,,19.00,5.00,4.00,5.00,,0.700,1,hspip_polymers
SOL MYLAR 49002,,19.00,5.00,5.00,5.00,,0.700,1,hspip_polymers
TEG EG MAL TEREP,,18.80,11.40,9.20,10.20,,0.700,1,hspip_polymers
TEG MALEATE,,18.10,13.90,12.10,9.70,,0.700,1,hspip_polymers
V AREZ 123,,17.30,10.90,11.90,10.70,,0.700,1,hspip_polymers
