name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source
PHENOLICS,,19.8,7.2,10.8,12.8,Phenolic Resin,0.850,1,hsp_polymers_2
BUNA N BUTADIENE/ACRYLONITRILE,,17.8,3.2,3.4,3.7,Elastomer,0.850,1,hsp_polymers_2
PMMA,,18.1,10.5,5.1,9.5,Acrylic,0.850,1,hsp_polymers_2
PEO 4000  HEATED SAMPLES,,21.5,10.9,13.1,15.9,Polyolefin,0.850,1,hsp_polymers_2
POLYETHYLENESULFIDE,,17.8,3.8,2.2,4.1,Polyolefin,0.850,1,hsp_polymers_2
PC,,18.1,5.9,6.9,5.5,Polyacetal / PEI / PC,0.850,1,hsp_polymers_2
PLIOLITE P1230,,18.1,4.7,3.7,3.907248,Natural & Petroleum Resin,0.850,1,hsp_polymers_2
MYLAR PET,,18.0,6.2,6.2,5.0,Polyester & Alkyd,0.850,1,hsp_polymers_2
VCV A COPOLY,,17.3,8.7,6.1,7.8,Vinyl Polymer,0.850,1,hsp_polymers_2
PUR,550-33-4,17.9,6.9,3.7,2.7,Polyurethane,0.850,1,hsp_polymers_2
SAN,,16.6,9.8,7.6,4.8,Styrenic,0.850,1,hsp_polymers_2
VINSOL ROSIN,,17.4,10.0,13.0,10.5,Natural & Petroleum Resin,0.850,1,hsp_polymers_2
EPON 1001,,17.0,9.6,7.8,7.1,Epoxy Resin,0.850,1,hsp_polymers_2
SHELLAC,,19.7,10.1,15.1,10.7,Natural & Petroleum Resin,0.850,1,hsp_polymers_2
POLYMETHACRYLONITRILE,,17.2,14.4,7.6,3.8,Acrylic,0.850,1,hsp_polymers_2
CELLULOSE ACETATE,,18.3,16.5,11.9,8.8,Cellulosic Polymer,0.850,1,hsp_polymers_2
CELLULOSE NITRATE,,16.9,13.5,10.3,9.9,Cellulosic Polymer,0.850,1,hsp_polymers_2
PVOH,,17.0,9.0,18.0,4.0,Vinyl Polymer,0.850,1,hsp_polymers_2
NYLON 66,,16.0,11.0,24.0,3.0,Polyamide,0.850,1,hsp_polymers_2
Acryloid B-44,,19.4,11.2,4.4,10.5,Acrylic,0.850,1,hsp_polymers_2
Acryloid B-66,,18.0,9.0,3.0,9.0,Acrylic,0.850,1,hsp_polymers_2
Acryloid B-72,,19.2,11.2,1.8,11.0,Acrylic,0.850,1,hsp_polymers_2
Acryloid B-82,,19.1,9.1,3.3,9.0,Acrylic,0.850,1,hsp_polymers_2
R+H PBA,,16.0,8.0,8.0,12.0,Acrylic,0.850,1,hsp_polymers_2
R+H PiMBA,,20.7,4.1,10.7,11.5,Acrylic,0.850,1,hsp_polymers_2
R+H PNBMA,,16.0,6.2,6.6,9.5,Acrylic,0.850,1,hsp_polymers_2
R+H PEMA,,19.0,9.0,8.0,11.0,Acrylic,0.850,1,hsp_polymers_2
R+H PMAA,,25.6,11.2,19.6,20.3,Acrylic,0.850,1,hsp_polymers_2
R+H PMMA,,19.1,11.3,4.1,10.3,Acrylic,0.850,1,hsp_polymers_2
BMA/AN 80/20,,17.5,9.9,4.1,9.5,Acrylic,0.850,1,hsp_polymers_2
MAA/EA/ST 15/38/47,,17.6,5.2,7.0,4.5,Acrylic,0.850,1,hsp_polymers_2
MAA/MA/V A 15/27.5/,,57.5,28.5,15.7,18.1,Vinyl Polymer,0.850,1,hsp_polymers_2
MAA/MA/V A 15/17.5/,,67.5,25.5,15.7,18.1,Vinyl Polymer,0.850,1,hsp_polymers_2
MMA/CYCLOL 58/42,,18.7,9.9,8.7,8.8,Acrylic,0.850,1,hsp_polymers_2
MMA/EA 50/50,,17.5,9.9,4.1,9.5,Acrylic,0.850,1,hsp_polymers_2
MMA/EA 25/75,,19.0,9.0,15.0,12.0,Acrylic,0.850,1,hsp_polymers_2
MMA/EA/AGE 40/40/20,,17.6,9.8,5.6,9.7,Acrylic,0.850,1,hsp_polymers_2
MMA/EA/AA,,15.9,15.9,11.5,11.1,Acrylic,0.850,1,hsp_polymers_2
MMA/EA/AN 55/30/15,,16.7,10.9,8.5,8.5,Acrylic,0.850,1,hsp_polymers_2
MMA/EA/AN 40/40/20,,20.4,13.2,11.0,12.3,Acrylic,0.850,1,hsp_polymers_2
