name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source,source_url,product_url,tds_url,sds_url,dataset_id
CYMEL 300,,19.35,12.83,12.87,9.82,Amino Resins,0.3,1,hansen_a2,,https://allnex.com/en/product/b211de0f-d72a-47b1-8b12-96d6381303be/cymel-300,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
CYMEL 325,,25.5,15.2,9.5,22.2,Amino Resins,0.3,1,hansen_a2,,https://allnex.com/en/product/1bbaa489-cb60-4485-b16e-545a26c6ea72/cymel-325,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
CZ resin,,18.0,1.0,3.0,4.0,Natural & Petroleum Resin,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
CZ RESIN SOL,,18.0,1.0,3.0,4.0,COC Solubility,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DAMMAR DEWAXED,,19.0,2.0,9.0,9.0,Polymers of Interest for Conservation of Paintings,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DAMMAR GUM,,18.4,4.2,7.8,8.3,Based on Solvent Range Solubility Data - Not too Reliable,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
DAMMAR GUM DEWAXED,,19.0,2.0,9.0,9.0,Miscellaneous - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DEG ISOPH,,19.2,17.2,14.6,11.8,Polyesters - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
DEG PHTH,,21.0,15.2,13.2,13.7,Polyesters - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
DESMODUR L,,17.5,11.3,5.9,8.5,Isocyanate,0.3,1,hansen_a2,,https://solutions.covestro.com/en/products/desmodur/desmodur-l-75_000000000000126748,https://solutions.covestro.com/-/media/covestro/solution-center/products/datasheets/imported/desmodur/desmodur-l-75_en_00126748-17844377-20034963.pdf,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DESMODUR N,28574-90-5,17.6,10.0,3.7,9.3,Isocyanate,0.45,1,hansen_a2,,https://solutions.covestro.com/en/brands/desmodur,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DESMOLAC 4200,,18.7,9.6,9.9,8.2,Polyurethane,0.3,1,hansen_a2,,https://solutions.covestro.com/en/brands/desmophen,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
