name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source,source_url
EXON 471,,17.9,8.7,2.5,9.0,Vinyl Resins - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
EXON 473,,17.4,7.8,3.8,7.7,Vinyl Resins - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
FEP,,19.0,4.0,3.0,4.0,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Fluorinated ethylene polypropylene (FEP),25067-11-2,19.0,4.0,3.0,4.0,Polypropylene,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
FORMVAR 15/95E,,22.2,12.6,14.2,14.0,Vinyl Resins - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
FORMVAR 7/70E PVFORMAL,,22.2,12.6,14.2,14.0,Vinyl Resins - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
FURAN,,19.0,6.0,8.0,5.0,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
FURF ALC,,19.9,3.9,5.1,3.8,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
GEON 121,,19.5,6.7,11.1,8.0,Vinyl Resins - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
GILSONITE,,17.1,2.1,3.9,4.9,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
HDPE,,18.0,0.0,2.0,2.0,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
HEXADECYL MONOESTER TRIME,,19.0,11.6,14.0,11.9,Miscellaneous - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
HYCAR 1052,,18.62,8.78,4.17,9.62,Acrylonitrile-Butadiene,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
HYD BIS A FUM ISPH,,17.0,4.4,6.2,5.0,Polyesters - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
HYD BIS A PG FUM ISPH,,18.7,8.9,5.5,8.4,Polyesters - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
HYDR SPERM OIL WX135,,20.0,4.0,2.0,5.0,Miscellaneous - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
HYP 20 CHLOROSULFONATED PE,,17.4,3.2,4.0,4.8,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
HYPALON +/- NOT OK,,18.4,5.6,6.0,9.4,Supplemental Chemical Resistance Corrlations,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
HYPALON +/- OK,,18.4,3.6,6.4,9.0,Supplemental Chemical Resistance Corrlations,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
HYPALON 20,,18.1,3.4,4.9,3.6,Chlorosulfonated PE,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
HYPALON 20 CHL SULF PE,,17.8,3.2,4.4,4.1,Miscellaneous - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
HYPALON 30,,18.2,4.7,2.0,5.0,Chlorosulfonated PE,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
HYTREL +/- NOT OK,,26.4,18.8,7.4,26.3,Supplemental Chemical Resistance Corrlations,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
HYTREL +/- OK,,24.2,14.6,13.2,18.8,Supplemental Chemical Resistance Corrlations,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ISOB MALANH/CYCLOL 75/25,,16.8,-0.4,7.2,8.5,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
KAURI GUM,,18.7,8.1,13.0,8.2,Miscellaneous,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
KETONE RESIN S588,,18.0,10.8,13.2,12.2,Miscellaneous - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
KOPPERS KTPL-A,,19.3,3.7,7.9,7.8,Styrene Polymers And Copolymers - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
LARD 23C,,17.69,2.66,4.36,7.98,Biologically Interesting Systems,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
