name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,molar_volume,category,ghs_hazard,confidence,source_count,source,source_url,hidden
"2,6-Difluorobenzonitril",,,,18.8,11.2,3.2,,,,111.6,halogenated,,0.8,1,hansen_a1,,
"2,6-Dimethyl Phenol",,,,19.1,4.9,12.9,,,,116.3,alcohol,,0.8,1,hansen_a1,,
2-(Diethylamino) Ethanol,,,,14.9,5.8,12.0,,,,133.2,alcohol,,0.8,1,hansen_a1,,
2-Acetyl Thiophene,,,,19.1,12.2,9.3,,,,108.0,heterocyclic,,0.8,1,hansen_a1,,
2-Bromo Allyl Alcohol,,,,17.1,9.9,16.2,,,,84.5,alcohol,,0.8,1,hansen_a1,,
2-Bromo Propene,,,,16.1,6.0,4.9,,,,88.8,halogenated,,0.8,1,hansen_a1,,
2-Bromobutane,,,,16.3,7.7,4.4,,,,109.5,halogenated,,0.8,1,hansen_a1,,
2-Bromothiophene,,,,20.1,5.2,4.6,,,,96.8,halogenated,,0.8,1,hansen_a1,,
2-Butanol,,,,15.8,5.7,14.5,,,,92.0,alcohol,,0.8,1,hansen_a1,,
2-Butene (cis),,,,14.7,1.3,4.1,,,,90.3,other,,0.8,1,hansen_a1,,
2-Butene (trans),,,,14.6,0.0,2.9,,,,92.9,other,,0.8,1,hansen_a1,,
2-Butenyl Methyl Ether (cis),,,,15.2,3.4,5.0,,,,118.8,ether,,0.8,1,hansen_a1,,
2-Butenyl Methyl Ether (trans),,,,15.3,4.4,4.3,,,,110.4,ether,,0.8,1,hansen_a1,,
2-Butyl Octanol,,,,16.1,3.6,9.3,,,,224.2,alcohol,,0.8,1,hansen_a1,,
2-Butynedinitrile,,,,15.2,16.2,8.0,,,,78.4,nitrile,,0.8,1,hansen_a1,,
2-Chloro Allyl Alcohol,,,,17.1,10.2,16.4,,,,79.6,alcohol,,0.8,1,hansen_a1,,
2-Chloro Propene (Isopropenyl Chloride),,,,15.5,6.7,2.2,,,,84.9,halogenated,,0.8,1,hansen_a1,,
2-Chloro-2-Methyl Propane,,,,15.6,7.6,2.0,,,,110.0,halogenated,,0.8,1,hansen_a1,,
2-Chloro-4-Methylaniline,,,,19.7,7.4,8.9,,,,123.0,amine,,0.8,1,hansen_a1,,
2-Chloro-5-Methyl Phenol,,,,19.0,7.7,13.1,,,,117.4,alcohol,,0.8,1,hansen_a1,,
2-Chloroallylidene Diacetate,,,,16.7,7.3,8.8,,,,160.2,ester,,0.8,1,hansen_a1,,
2-Chlorobutane,,,,15.8,7.6,2.0,,,,106.8,halogenated,,0.8,1,hansen_a1,,
2-Chlorocyclohexanone,,,,18.5,13.0,5.1,,,,113.9,ketone,,0.8,1,hansen_a1,,
2-Chloroethyl Acetate,,,,16.7,9.6,8.8,,,,107.5,ester,,0.8,1,hansen_a1,,
2-Chloroethyl Ethyl Ether,,,,16.3,7.9,4.6,,,,109.5,ether,,0.8,1,hansen_a1,,
2-Chloroethyl Ethyl Sulfid,,,,17.2,5.0,6.1,,,,116.9,halogenated,,0.8,1,hansen_a1,,
2-Chlorophenol,,,,20.3,5.5,13.9,,,,102.3,alcohol,,0.8,1,hansen_a1,,
2-Chloropropenal,,,,17.1,12.9,8.1,,,,75.5,halogenated,,0.8,1,hansen_a1,,
2-Chloropropenoic Acid,,,,19.1,9.4,12.4,,,,86.6,acid,,0.8,1,hansen_a1,,
2-Chlorothiophene,,,,19.2,6.2,8.0,,,,92.2,halogenated,,0.8,1,hansen_a1,,
2-Cyclopentenyl Alcohol,,,,18.1,7.6,15.6,,,,86.2,alcohol,,0.8,1,hansen_a1,,
2-Decanol,,,,15.8,3.9,10.0,,,,192.8,alcohol,,0.8,1,hansen_a1,,
2-Ethyl Croton Aldehyde,,,,16.1,8.0,5.5,,,,115.2,aldehyde,,0.8,1,hansen_a1,,
2-Ethyl Hexyl Acetate,,,,15.8,2.9,5.1,,,,196.0,ester,,0.8,1,hansen_a1,,
2-Ethyl Hexyl Acrylate,,,,14.8,4.7,3.4,,,,208.2,ester,,0.8,1,hansen_a1,,
"2-Ethyl-1,3-Butadiene",,,,15.3,1.6,3.8,,,,115.2,other,,0.8,1,hansen_a1,,
2-Ethyl-1-Butanol,,,,15.8,4.3,13.5,,,,123.2,alcohol,,0.8,1,hansen_a1,,
2-Ethyl-1-Butene,,,,14.9,1.7,3.5,,,,123.1,other,,0.8,1,hansen_a1,,
2-Ethyl-hexanol,,,,15.9,3.3,11.8,,,,156.6,alcohol,,0.8,1,hansen_a1,,
2-Ethylhexylamine,,,,15.7,4.2,6.1,,,,163.3,amine,,0.8,1,hansen_a1,,
2-Furonitrile,,,,18.4,15.0,8.2,,,,87.5,nitrile,,0.8,1,hansen_a1,,
2-Methoxy Tetrahydropyrane,,,,17.2,6.6,6.0,,,,105.1,ether,,0.8,1,hansen_a1,,
"2-Methoxy-1,3-Dioxolane",,,,17.8,8.4,7.7,,,,95.3,ether,,0.8,1,hansen_a1,,
2-Methyl (cis) Acrylic Acid,,,,16.8,5.2,12.4,,,,83.9,acid,,0.8,1,hansen_a1,,
2-Methyl Cyclohexanone,,,,17.6,6.3,4.7,,,,121.3,ketone,,0.8,1,hansen_a1,,
2-Methyl Pyrazine,,,,18.3,12.3,10.5,,,,91.4,other,,0.8,1,hansen_a1,,
2-Methyl Tetrahydrofuran,,,,16.9,5.0,4.3,,,,100.2,ether,,0.8,1,hansen_a1,,
"2-Methyl-1,3-Dioxolane",,,,17.3,4.8,5.8,,,,89.8,ether,,0.8,1,hansen_a1,,
2-Methyl-1-Butanol,,,,16.0,5.1,14.3,,,,109.5,alcohol,,0.8,1,hansen_a1,,
2-Methyl-1-Butene,,,,14.2,1.8,2.3,,,,108.7,other,,0.8,1,hansen_a1,,
2-Methyl-1-Chloro Acrolein,,,,17.1,10.6,7.3,,,,91.7,halogenated,,0.8,1,hansen_a1,,
2-Methyl-1-Propanol,,,,15.1,5.7,15.9,,,,92.8,alcohol,,0.8,1,hansen_a1,,
2-Methyl-2-Butanol,,,,15.3,6.1,13.3,,,,109.6,alcohol,,0.8,1,hansen_a1,,
2-Methyl-2-Butene,,,,14.3,2.0,3.9,,,,106.7,other,,0.8,1,hansen_a1,,
2-Methylfuran,,,,17.3,2.8,7.4,,,,89.7,ether,,0.8,1,hansen_a1,,
2-Nitropropane,,,,16.2,12.1,4.1,,,,86.9,nitro,,0.8,1,hansen_a1,,
2-Nitrothiophene,,,,19.7,16.2,8.2,,,,94.6,heterocyclic,,0.8,1,hansen_a1,,
2-Octanol,,,,16.1,4.9,11.0,,,,159.1,alcohol,,0.8,1,hansen_a1,,
2-Pentanol,,,,15.6,6.4,13.3,,,,109.6,alcohol,,0.8,1,hansen_a1,,
2-Phenoxy Ethanol,,,,17.8,5.7,14.3,,,,124.7,alcohol,,0.8,1,hansen_a1,,
2-Pinene (dl),,,,16.9,1.8,3.1,,,,159.5,terpene,,0.8,1,hansen_a1,,
2-Propanethiol,,,,16.3,6.8,6.5,,,,94.1,hydrocarbon,,0.8,1,hansen_a1,,
2-Propanol,,,,15.8,6.1,16.4,,,,76.8,alcohol,,0.8,1,hansen_a1,,
2-Pyrrolidone,,,,19.4,17.4,11.3,,,,76.4,amide,,0.8,1,hansen_a1,,
2-Thiabutane,,,,16.2,5.9,5.3,,,,90.4,hydrocarbon,,0.8,1,hansen_a1,,
2-Toluidine,,,,19.4,5.8,9.4,,,,107.8,other,,0.8,1,hansen_a1,,
2-Vinyl Toluene,,,,18.6,1.0,3.8,,,,131.8,aromatic,,0.8,1,hansen_a1,,
"3,3,3-Trichloro Propene",,,,17.7,15.5,3.4,,,,106.2,halogenated,,0.8,1,hansen_a1,,
"3,4-Dichloro α,α,α-Trifluorotoluen",,,,20.0,4.7,2.4,,,,145.5,halogenated,,0.8,1,hansen_a1,,
"3,4-Dichloronitrobenzene",,,,20.1,7.2,4.1,,,,130.6,nitro,,0.8,1,hansen_a1,,
"3,4-Dichlorophenyl Acetonitrile",,,,20.5,10.8,4.4,,,,148.8,nitrile,,0.8,1,hansen_a1,,
"3,4-Dichlorotoluene",,,,19.8,9.8,2.5,,,,128.7,halogenated,,0.8,1,hansen_a1,,
"3,4-Dimethyl Phenol",,,,19.2,6.0,13.4,,,,121.0,alcohol,,0.8,1,hansen_a1,,
"3,4-Dinitrophenol",,,,19.5,12.8,14.3,,,,110.1,alcohol,,0.8,1,hansen_a1,,
"3,4-Epoxy-1-Butene",,,,16.6,7.7,7.4,,,,80.7,other,,0.8,1,hansen_a1,,
"3,5-Difluorobenzonitril",,,,18.8,11.2,3.2,,,,111.6,halogenated,,0.8,1,hansen_a1,,
"3,5-Dinitrophenol",,,,19.5,12.9,14.4,,,,108.2,alcohol,,0.8,1,hansen_a1,,
3-Azidopropene,,,,16.8,7.7,13.4,,,,83.0,other,,0.8,1,hansen_a1,,
3-Bromopropyne,,,,18.1,6.5,5.3,,,,75.3,halogenated,,0.8,1,hansen_a1,,
3-Butenenitrile,,,,16.2,14.3,5.6,,,,80.5,nitrile,,0.8,1,hansen_a1,,
3-Butoxybutanol,,,,15.9,5.5,10.6,,,,166.3,alcohol,,0.8,1,hansen_a1,,
3-Chloro Allyl Alcohol,,,,17.2,10.3,16.5,,,,78.6,alcohol,,0.8,1,hansen_a1,,
3-Chloro-1-Propanol,,,,17.5,5.7,14.7,,,,84.2,alcohol,,0.8,1,hansen_a1,,
3-Chloro-2-Methyl Propene,,,,16.2,5.6,2.0,,,,98.8,halogenated,,0.8,1,hansen_a1,,
3-Chlorobenzylchloride,,,,19.9,9.3,2.6,,,,117.7,halogenated,,0.8,1,hansen_a1,,
3-Chloropropionaldehyde,,,,17.0,13.3,8.2,,,,73.0,halogenated,,0.8,1,hansen_a1,,
3-Chloropropionitrile,,,,17.3,15.9,6.1,,,,77.4,nitrile,,0.8,1,hansen_a1,,
3-Chloropropyne,,,,16.7,7.4,2.3,,,,72.4,halogenated,,0.8,1,hansen_a1,,
3-Ethoxy Propionaldehyde,,,,16.0,8.8,7.4,,,,112.1,aldehyde,,0.8,1,hansen_a1,,
3-Hydroxy Tetrahydrofuran,,,,18.9,9.4,16.3,,,,80.0,ether,,0.8,1,hansen_a1,,
