name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,subclass,data_type,data_reliability,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,product_url,tds_url,sds_url
PVF,PVF? (DMF ONLY GOOD SOLVENT),,17.4,13.7,11.3,2.0,Fluoropolymer,,solubility,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVF,DMF ONLY GOOD SOLVENT,,,,
PES SOL,PES SOL,,19.6,10.8,9.2,6.2,Polysulfone / PES / PPS,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PES SOL,PES SOL,,,,
LARD 37C,LARD 37C,,15.9,1.16,5.41,12.03,Biological & Other,,estimated,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,LARD 37C,LARD 37C,,,,
LARD 23C,LARD 23C,,17.69,2.66,4.36,7.98,Biological & Other,,estimated,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,LARD 23C,LARD 23C,,,,
1%IN WATER -AMINES,1%IN WATER -AMINES,,15.07,20.44,16.5,18.12,Biological & Other,Aqueous,estimated,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,1%IN WATER -AMINES,1%IN WATER -AMINES,,,,
1%IN WATER +AMINES,1%IN WATER +AMINES,,14.96,18.33,15.15,16.22,Biological & Other,Aqueous,estimated,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,1%IN WATER +AMINES,1%IN WATER +AMINES,,,,
BLOOD SERUM,BLOOD SERUM,,23.2,22.73,30.6,20.48,Biological & Other,,estimated,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BLOOD SERUM,BLOOD SERUM,,,,
SUCROSE,SUCROSE,,21.67,26.26,29.62,20.44,Biological & Other,,estimated,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SUCROSE,SUCROSE,,,,
UREA,UREA,,20.9,18.7,26.4,19.42,Biological & Other,,estimated,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,UREA,UREA,,,,
PSORIASIS SCALES,PSORIASIS SCALES,,24.64,11.94,12.92,19.04,Biological & Other,,estimated,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PSORIASIS SCALES,PSORIASIS SCALES,,,,
LIGNIN,LIGNIN,9005-53-2,20.61,13.88,15.25,11.83,Natural & Petroleum Resin,Lignin,estimated,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Lignin,lignin,lignosulfonate; technical lignin,,,,
CHOLESTEROL,CHOLESTEROL,,20.4,2.8,9.4,12.6,Biological & Other,,estimated,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CHOLESTEROL,CHOLESTEROL,,,,
CHLOROPHYLL,CHLOROPHYLL,,20.2,15.6,18.2,11.1,Biological & Other,,estimated,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CHLOROPHYLL,CHLOROPHYLL,,,,
CELLULOSE-PAPER STRENGTH,CELLULOSE-PAPER STRENGTH,,25.4,18.6,24.8,21.7,Cellulosic Polymer,,estimated,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CELLULOSE-PAPER STRENGTH,CELLULOSE-PAPER STRENGTH,,,,
PSU ULTRASON S,PSU ULTRASON S,,19.7,8.3,8.3,8.0,Polysulfone / PES / PPS,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PSU ULTRASON S,PSU ULTRASON S,,,,
BAREX 210 CR,BAREX 210 CR,,20.1,9.1,12.7,10.9,Acrylic,Acrylonitrile copolymer,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BAREX 210 CR,BAREX 210 CR,,,,
BAREX 210 CR-STYRENE,BAREX 210 CR-STYRENE,,17.7,8.9,10.9,6.4,Styrenic,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BAREX 210 CR-STYRENE,BAREX 210 CR-STYRENE,,,,
Paraloid B72,PARALOID B72,,17.6,7.4,5.6,9.4,Acrylic,,solubility,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Paraloid B72,Paraloid B72,,,,
ESTIMATE DRIED OIL,ESTIMATE DRIED OIL,,16.0,6.0,7.0,5.0,Natural & Petroleum Resin,Drying oil,solubility,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ESTIMATE DRIED OIL,ESTIMATE DRIED OIL,,,,
DAMMAR DEWAXED,DAMMAR DEWAXED,,19.0,2.0,9.0,9.0,Natural & Petroleum Resin,Dammar,solubility,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Dammar resin,dammar,dammar varnish; dammer resin,,,,
LDPE PERM>80,LDPE PERM>80,,16.5,4.5,0.5,6.0,Polyolefin,,permeation,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,LDPE PERM>80,LDPE PERM>80,,,,
LDPE PERM<0.8,LDPE PERM<0.8,,15.3,5.3,2.5,10.1,Polyolefin,,permeation,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,LDPE PERM<0.8,LDPE PERM<0.8,,,,
TOLONATE HDT,TOLONATE HDT (RH-POULENC),,19.0,11.0,3.0,12.0,Polyurethane,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,TOLONATE HDT,RH-POULENC,,,,
TOLONATE HDB,TOLONATE HDB (RH-POULENC),,19.0,11.0,2.0,11.3,Polyurethane,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,TOLONATE HDB,RH-POULENC,,,,
R ACM,R ACM,,16.8,11.8,11.6,17.0,Elastomer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R ACM,R ACM,,,,
R BUTYL,R BUTYL,,18.0,0.0,3.0,9.0,Elastomer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R BUTYL,R BUTYL,,,,
R ECO,R ECO,,21.3,8.1,6.1,12.0,Elastomer,ECO,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R ECO,R ECO,,,,
R CSM,R CSM,,28.0,14.0,3.4,28.3,Elastomer,Chlorinated/Halogenated Rubber,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R CSM,R CSM,,,,
R EBONITE,R EBONITE (DATA FIT 0.722),,18.7,6.1,2.7,6.6,Elastomer,Ebonite,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R EBONITE,DATA FIT 0.722,,,,
R ETHYLENE/PROPYLENE,R ETHYLENE/PROPYLENE,,16.6,0.0,5.2,9.1,Elastomer,EPDM,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R ETHYLENE/PROPYLENE,R ETHYLENE/PROPYLENE,,,,
R EPDM,R EPDM,,18.6,-3.4,4.4,10.7,Elastomer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R EPDM,R EPDM,,,,
R FQ FL/SI,R FQ FL/SI,,15.9,20.1,6.9,16.8,Fluoropolymer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R FQ FL/SI,R FQ FL/SI,,,,
R FKM,R FKM (VITON) (0.76 DATA FIT),,11.6,23.0,5.0,21.6,Fluoropolymer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R FKM,VITON,,,,
R NR NAT RUB,R NR NAT RUB,,20.8,1.8,3.6,14.0,Elastomer,Natural rubber,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Polyisoprene, natural",natural rubber,NR; natural rubber,,,,
R NBR,R NBR,,19.8,17.8,3.2,19.0,Elastomer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R NBR,R NBR,,,,
R CR CHLOROPRENE,R CR CHLOROPRENE,,24.6,8.6,6.4,20.4,Elastomer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R CR CHLOROPRENE,R CR CHLOROPRENE,,,,
R AU ESTER PU,R AU ESTER PU,,17.9,13.3,10.7,17.1,Polyurethane,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R AU ESTER PU,R AU ESTER PU,,,,
R PEU ETHER PU,R PEU ETHER PU,,17.9,13.3,10.7,17.1,Polyurethane,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R PEU ETHER PU,R PEU ETHER PU,,,,
R T SULPHIDE,R T SULPHIDE,,25.3,17.3,6.7,23.6,Polysulfone / PES / PPS,Polysulfide,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R T SULPHIDE,R T SULPHIDE,,,,
R Q SILICONE (0.748 DATA FIT),R Q SILICONE (0.748 DATA FIT),,13.8,5.0,1.2,14.3,Elastomer,Silicone,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R Q SILICONE (0.748 DATA FIT),R Q SILICONE (0.748 DATA FIT),,,,
R SBR,R SBR,,17.2,6.0,4.6,9.8,Elastomer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R SBR,R SBR,,,,
R TFP TETFLPROP (0.744 DATA FIT),R TFP TETFLPROP (0.744 DATA FIT),,16.6,6.8,0.6,7.9,Fluoropolymer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R TFP TETFLPROP (0.744 DATA FIT),R TFP TETFLPROP (0.744 DATA FIT),,,,
R ABS,R ABS,,17.6,8.6,6.4,10.9,Styrenic,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R ABS,R ABS,,,,
R CELLULOSE ACETATE,R CELLULOSE ACETATE,,14.9,7.1,11.1,12.4,Cellulosic Polymer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R CELLULOSE ACETATE,R CELLULOSE ACETATE,,,,
R CHLORINATED PVC,R CHLORINATED PVC,,17.5,6.5,5.5,6.3,Vinyl Polymer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R CHLORINATED PVC,R CHLORINATED PVC,,,,
R DIALLYLPHTHALATE,R DIALLYLPHTHALATE,,22.2,12.2,8.6,15.8,Polyester & Alkyd,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R DIALLYLPHTHALATE,R DIALLYLPHTHALATE,,,,
R POM ACETAL,R POM ACETAL,,17.2,9.0,9.8,5.3,Polyacetal / PEI / PC,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R POM ACETAL,R POM ACETAL,,,,
R PA12,R PA12,,18.5,8.1,9.1,6.3,Polyamide,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R PA12,R PA12,,,,
R PA66,R PA66,,18.2,8.8,10.8,5.2,Polyamide,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R PA66,R PA66,,,,
R POLYAMIDEIMIDE,R POLYAMIDEIMIDE,,18.5,5.7,8.7,4.2,Polyamide,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R POLYAMIDEIMIDE,R POLYAMIDEIMIDE,,,,
R POLYBUTYLENETEREPH,R POLYBUTYLENETEREPH,,18.0,5.6,8.4,4.5,Polyester & Alkyd,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R POLYBUTYLENETEREPH,R POLYBUTYLENETEREPH,,,,
R POLYCARBONATE,R POLYCARBONATE,,19.1,10.9,5.1,12.1,Polyacetal / PEI / PC,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R POLYCARBONATE,R POLYCARBONATE,,,,
R HDPE/LDPE,R HDPE/LDPE,,17.5,4.3,8.3,3.9,Polyolefin,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R HDPE/LDPE,R HDPE/LDPE,,,,
R PET,R PET,,19.1,6.3,9.1,4.8,Polyester & Alkyd,Saturated Polyester,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R PET,R PET,,,,
R POLYIMIDES,R POLYIMIDES,,24.3,19.5,22.9,21.6,Polysulfone / PES / PPS,Polyimide,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R POLYIMIDES,R POLYIMIDES,,,,
R PMMA,R PMMA,,19.3,16.7,4.7,17.4,Acrylic,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R PMMA,R PMMA,,,,
R TPX,R TPX,,18.8,1.4,6.4,7.9,Polyolefin,Poly(4-methylpentene),chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R TPX,R TPX,,,,
R POLYPHENYLENEOXIDE,R POLYPHENYLENEOXIDE,,16.9,8.9,2.7,11.7,Polyacetal / PEI / PC,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R POLYPHENYLENEOXIDE,R POLYPHENYLENEOXIDE,,,,
R POLYSULPHONE,R POLYSULPHONE,,19.8,11.2,6.2,11.3,Polysulfone / PES / PPS,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R POLYSULPHONE,R POLYSULPHONE,,,,
R POLYPROPYLENE,R POLYPROPYLENE,,17.2,5.6,-0.4,4.5,Polyolefin,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R POLYPROPYLENE,R POLYPROPYLENE,,,,
R EPOXY COLD CURING,R EPOXY COLD CURING,,16.8,10.8,8.8,8.2,Epoxy Resin,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R EPOXY COLD CURING,R EPOXY COLD CURING,,,,
R EPOXY HOT CURING,R EPOXY HOT CURING,,18.3,12.3,9.7,7.3,Epoxy Resin,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R EPOXY HOT CURING,R EPOXY HOT CURING,,,,
R HET RESIN,R HET RESIN,,17.5,11.3,8.3,8.6,Phenolic Resin,HET resin,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R HET RESIN,R HET RESIN,,,,
R ISOPHTHALIC,R ISOPHTHALIC,,19.8,17.4,4.2,18.0,Polyester & Alkyd,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R ISOPHTHALIC,R ISOPHTHALIC,,,,
R TEREPHTALIC,R TEREPHTALIC,,19.8,17.4,4.2,18.0,Polyester & Alkyd,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,R TEREPHTALIC,R TEREPHTALIC,,,,
EPIKOTE 828 (60%),EPIKOTE 828 (60%),,16.6,14.0,2.8,14.9,Epoxy Resin,DGEBA epoxy,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Bisphenol A diglycidyl ether,DGEBA epoxy resin,DGEBA; bisphenol-A epoxy; liquid epoxy resin,EP,,,
EPIKOTE 828 (30%),EPIKOTE 828 (30%),,16.3,16.4,1.9,16.7,Epoxy Resin,DGEBA epoxy,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Bisphenol A diglycidyl ether,DGEBA epoxy resin,DGEBA; bisphenol-A epoxy; liquid epoxy resin,EP,,,
EPIKOTE 1001 (60%),EPIKOTE 1001 (60%),,15.8,16.3,3.3,16.4,Epoxy Resin,BPA epoxy solid,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Bisphenol A diglycidyl ether, MW ~1000",solid epoxy resin,BPA epoxy; DGEBA; solid epoxy,EP,,,
EPIKOTE 1001 (40%),EPIKOTE 1001 (40%),,16.3,13.1,6.3,10.9,Epoxy Resin,BPA epoxy solid,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Bisphenol A diglycidyl ether, MW ~1000",solid epoxy resin,BPA epoxy; DGEBA; solid epoxy,EP,,,
EPIKOTE 1001 (20%),EPIKOTE 1001 (20%),,19.8,13.6,8.9,12.0,Epoxy Resin,BPA epoxy solid,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Bisphenol A diglycidyl ether, MW ~1000",solid epoxy resin,BPA epoxy; DGEBA; solid epoxy,EP,,,
EPIKOTE 1001 (10%),EPIKOTE 1001 (10%),,18.1,11.4,9.0,9.1,Epoxy Resin,BPA epoxy solid,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Bisphenol A diglycidyl ether, MW ~1000",solid epoxy resin,BPA epoxy; DGEBA; solid epoxy,EP,,,
EPIKOTE 1004 (60%),EPIKOTE 1004 (60%),,17.7,10.1,7.6,9.8,Epoxy Resin,BPA epoxy solid,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Bisphenol A diglycidyl ether, MW ~1600",solid epoxy resin,BPA epoxy; solid epoxy resin,EP,,,
EPIKOTE 1004 (30%),EPIKOTE 1004 (30%),,18.5,9.3,8.0,9.6,Epoxy Resin,BPA epoxy solid,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Bisphenol A diglycidyl ether, MW ~1600",solid epoxy resin,BPA epoxy; solid epoxy resin,EP,,,
EPIKOTE 1007 (30%),EPIKOTE 1007 (30%),,18.6,10.6,8.1,8.8,Epoxy Resin,BPA epoxy solid,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Bisphenol A diglycidyl ether, MW ~2900",high-MW solid epoxy resin,DGEBA; solid epoxy,EP,,,
EPIKOTE 1009 (60%),EPIKOTE 1009 (60%),,17.0,9.6,8.5,7.6,Epoxy Resin,BPA epoxy solid,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Bisphenol A diglycidyl ether, MW ~3750",high-MW solid epoxy resin,DGEBA; solid epoxy,EP,,,
EPIKOTE 1009 (30%),EPIKOTE 1009 (30%),,19.8,10.6,10.3,9.7,Epoxy Resin,BPA epoxy solid,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Bisphenol A diglycidyl ether, MW ~3750",high-MW solid epoxy resin,DGEBA; solid epoxy,EP,,,
EPIKOTE 1009 (10%),EPIKOTE 1009 (10%),,19.0,9.1,10.7,8.0,Epoxy Resin,BPA epoxy solid,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Bisphenol A diglycidyl ether, MW ~3750",high-MW solid epoxy resin,DGEBA; solid epoxy,EP,,,
PIBMA (10%),PIBMA (10%),,17.0,4.6,7.6,9.5,Acrylic,PIBMA,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PIBMA (10%),PIBMA (10%),,,,
PIBMA (30%),PIBMA (30%),,17.1,5.9,0.7,7.3,Acrylic,PIBMA,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PIBMA (30%),PIBMA (30%),,,,
PMMA (10%),PMMA (10%),,17.8,10.4,2.9,9.6,Acrylic,,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PMMA (10%),PMMA (10%),,,,
PMMA (30%),PMMA (30%),,17.2,7.2,3.5,4.8,Acrylic,,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PMMA (30%),PMMA (30%),,,,
PBMA (10%),PBMA (10%),,20.6,3.5,7.2,12.8,Acrylic,PBMA,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PBMA (10%),PBMA (10%),,,,
PBMA (30%),PBMA (30%),,18.1,5.7,0.0,8.5,Acrylic,PBMA,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PBMA (30%),PBMA (30%),,,,
PMMA (10%),PMMA (10%),,17.6,10.1,5.8,9.4,Acrylic,,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PMMA (10%),PMMA (10%),,,,
PMMA (30%),PMMA (30%),,17.5,5.5,3.8,4.5,Acrylic,,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PMMA (30%),PMMA (30%),,,,
PEMA (10%),PEMA (10%),,16.5,8.7,5.0,10.4,Acrylic,PEMA,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PEMA (10%),PEMA (10%),,,,
PEMA (30%),PEMA (30%),,16.9,7.8,0.5,7.3,Acrylic,PEMA,concentration_series,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PEMA (30%),PEMA (30%),,,,
